name,type,value,date
Resident Evil Director's Cut,Virgin Interactive,3.77,1996
Ratchet & Clank: Size Matters,Sony Computer Entertainment,3.77,2007
Just Dance 2014,Ubisoft,3.76,2013
The Sims: Unleashed,Electronic Arts,3.76,2002
Super Paper Mario,Nintendo,3.76,2007
Harry Potter and the Sorcerer's Stone,Electronic Arts,3.73,2001
The Witcher 3: Wild Hunt,Namco Bandai Games,3.73,2015
Resident Evil 3: Nemesis,Eidos Interactive,3.72,1999
Spyro: Year of the Dragon,Sony Computer Entertainment,3.71,2000
FIFA Soccer 2005,Electronic Arts,3.7,2004
Pokémon Trading Card Game,Nintendo,3.7,1998
Battlefield 4,Electronic Arts,3.69,2013
MySims,Electronic Arts,3.69,2007
Friend Collection,Nintendo,3.67,2009
Tony Hawk's Pro Skater 4,Activision,3.67,2002
Midnight Club 3: DUB Edition,Take-Two Interactive,3.66,2005
Banjo-Kazooie,Nintendo,3.65,1998
SOCOM: U.S. Navy SEALs,Sony Computer Entertainment,3.65,2002
Guitar Hero: World Tour,Activision,3.65,2008
Gran Turismo 6,Sony Computer Entertainment,3.64,2013
Jak and Daxter: The Precursor Legacy,Sony Computer Entertainment,3.64,2001
Pokemon Snap,Nintendo,3.63,1999
FIFA Soccer 10,Electronic Arts,3.63,2009
Pro Evolution Soccer 2008,Konami Digital Entertainment,3.63,2007
Call of Duty: Ghosts,Activision,3.63,2013
Resident Evil 4,Capcom,3.62,2005
Tom Clancy's The Division,Ubisoft,3.61,2016
Star Wars: Battlefront,LucasArts,3.61,2004
Doom II: Hell on Earth,Virgin Interactive,3.61,1994
The Simpsons: Road Rage,Electronic Arts,3.61,2001
Cooking Mama 2: Dinner With Friends,505 Games,3.61,2007
Luigi's Mansion,Nintendo,3.6,2001
Star Wars: Battlefront II,LucasArts,3.59,2005
WWF SmackDown!,THQ,3.58,2000
Croc: Legend of the Gobbos,Fox Interactive,3.56,1997
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,3.54,2006
The Getaway,Sony Computer Entertainment,3.54,2002
Tomb Raider III: Adventures of Lara Croft,Eidos Interactive,3.54,1997
James Bond 007: Agent Under Fire,Electronic Arts,3.53,2001
LEGO Star Wars: The Video Game,Eidos Interactive,3.53,2005
Battlefield 4,Electronic Arts,3.53,2013
FIFA Soccer 11,Electronic Arts,3.53,2010
Rugrats in Paris: The Movie,THQ,3.52,2000
Spyro 2: Ripto's Rage!,Sony Computer Entertainment,3.52,1999
Left 4 Dead,Electronic Arts,3.52,2008
Mario & Sonic at the Olympic Winter Games,Sega,3.52,2009
Resident Evil 5,Capcom,3.51,2009
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Nintendo,3.51,1996
Assassin's Creed: Brotherhood,Ubisoft,3.5,2010
Kung Fu,Nintendo,3.5,1985
Batman: Arkham Asylum,Eidos Interactive,3.5,2009
Clubhouse Games,Nintendo,3.5,2006
FIFA Soccer 2004,Electronic Arts,3.49,N/A
Star Wars Battlefront (2015),Electronic Arts,3.49,2015
Battlefield: Bad Company 2,Electronic Arts,3.48,2010
Guitar Hero: On Tour,Activision,3.48,2008
Assassin's Creed: Unity,Ubisoft,3.46,2014
Far Cry 3,Ubisoft,3.45,2012
Monster Hunter 4,Capcom,3.44,2013
Borderlands,Take-Two Interactive,3.44,2009
Tekken 4,Namco Bandai Games,3.44,2002
Battlefield 4,Electronic Arts,3.43,2013
LittleBigPlanet 2,Sony Computer Entertainment,3.42,2011
Grand Theft Auto 2,Take-Two Interactive,3.42,1998
Final Fantasy III,SquareSoft,3.42,1994
Spider-Man 2,Activision,3.41,2004
F-1 Race,Nintendo,3.41,1990
FIFA Soccer 2003,Electronic Arts,3.4,2002
Crash Bash,Sony Computer Entertainment,3.39,2000
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,3.38,2008
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,3.38,2015
The Legend of Zelda: Spirit Tracks,Nintendo,3.38,2009
WWF War Zone,Acclaim Entertainment,3.36,1998
The Legend of Zelda: Majora's Mask,Nintendo,3.36,2000
Professor Layton and the Unwound Future,Nintendo,3.36,2008
Rugrats: Search For Reptar,THQ,3.34,1998
Assassin's Creed IV: Black Flag,Ubisoft,3.34,2013
English Training: Have Fun Improving Your Skills!,Nintendo,3.33,2006
James Bond 007: Nightfire,Electronic Arts,3.33,2002
Ratchet & Clank,Sony Computer Entertainment,3.33,2002
Mario Party 9,Nintendo,3.32,2012
Star Wars Episode III: Revenge of the Sith,LucasArts,3.32,2005
Max Payne,Take-Two Interactive,3.31,2001
The Lord of the Rings: The Return of the King,Electronic Arts,3.28,2003
Assassin's Creed Syndicate,Ubisoft,3.28,2015
Destiny,Activision,3.28,2014
True Crime: Streets of LA,Activision,3.27,2003
Wii Music,Nintendo,3.27,2008
Gran Turismo (PSP),Sony Computer Entertainment,3.27,2009
Monster Hunter X,Capcom,3.26,2015
Tekken,Sony Computer Entertainment,3.24,1995
FIFA 16,Electronic Arts,3.23,2015
L.A. Noire,Take-Two Interactive,3.23,2011
Madden NFL 16,Electronic Arts,3.22,2015
Yokai Watch 2 Ganso/Honke,Nintendo,3.22,2014
007: Tomorrow Never Dies,Electronic Arts,3.21,1999
Baseball,Nintendo,3.2,1983
Killer Instinct,Nintendo,3.2,1995
WWF SmackDown! 2: Know Your Role,THQ,3.2,2000
Crisis Core: Final Fantasy VII,Square Enix,3.19,2007
God of War: Chains of Olympus,Sony Computer Entertainment,3.19,2008
Dragon Quest VI: Maboroshi no Daichi,Enix Corporation,3.19,1995
Dance Central,MTV Games,3.19,2010
Enter the Matrix,Atari,3.18,2003
Super Mario Maker,Nintendo,3.18,2015
Fallout: New Vegas,Bethesda Softworks,3.17,2010
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,3.17,N/A
Rhythm Heaven,Nintendo,3.17,2008
Ace Combat 04: Shattered Skies,Sony Computer Entertainment Europe,3.17,2001
Club Penguin: Elite Penguin Force,Disney Interactive Studios,3.16,2008
Animal Crossing,Nintendo,3.15,2001
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,3.15,2008
Sonic Rush,Sega,3.15,2005
Resident Evil 6,Capcom,3.15,2012
Halo: The Master Chief Collection,Microsoft Game Studios,3.15,2014
FIFA Soccer 08,Electronic Arts,3.14,2007
Spider-Man,Activision,3.13,2000
Need for Speed III: Hot Pursuit,Electronic Arts,3.12,1998
Star Wars Episode I Racer,Nintendo,3.12,1999
Personal Trainer: Cooking,Nintendo,3.12,2006
The Elder Scrolls IV: Oblivion,Ubisoft,3.12,2007
Dragon Warrior IV,Enix Corporation,3.12,1990
Heavy Rain,Sony Computer Entertainment,3.12,2010
Mass Effect 2,Electronic Arts,3.11,2010
FIFA 15,Electronic Arts,3.11,2014
Dragon Ball Z: Budokai,Atari,3.09,2002
Madden NFL 2002,Electronic Arts,3.08,2001
World Class Track Meet,Namco Bandai Games,3.08,1986
Borderlands 2,Take-Two Interactive,3.07,2012
The Legend of Zelda: A Link Between Worlds,Nintendo,3.07,2013
Donkey Kong,Nintendo,3.07,1994
The Sims: Vacation,Electronic Arts,3.07,2002
Mass Effect 3,Electronic Arts,3.07,2012
Kung Fu Panda,Activision,3.05,2008
Far Cry 3,Ubisoft,3.04,2012
Epic Mickey,Disney Interactive Studios,3.04,2010
Saints Row 2,THQ,3.03,2008
Rayman,Ubisoft,3.03,1995
Killzone 2,Sony Computer Entertainment,3.02,2009
Tom Clancy's Splinter Cell,Ubisoft,3.02,2002
Mike Tyson's Punch-Out!!,Nintendo,3.02,1987
WWE SmackDown! Shut Your Mouth,THQ,3.02,2002
Gears of War: Ultimate Edition,Microsoft Game Studios,3,2015
NBA 2K13,Take-Two Interactive,3,2012
